CODE,DISPLAY,COUNT,PERCENTAGE_OF_CLAIMS,,CLAIM_COUNT,TYPE,PERCENTAGE_OF_CLAIMS
10000300201090,Almadar dental clinc,10533,0.01%,,,,
10000300032602,Madinah Road Branch,10503,0.01%,,,,
10000300204425,Pharmacy  Nahdi  One,10483,0.01%,,,,
10000300043849,physio one,10408,0.01%,,,,
10000300291299,Mohamed Al Jadaani Medical Center,10395,0.01%,,,,
10000300062849,Pharmacy NahdiOneNineFour,10333,0.01%,,,,
10000300133111, class optical AZ,10302,0.01%,,,,
10000300199500,Magrabi Corniche,10232,0.01%,,,,
10000300085204,Modern Gulf clinic complex,10162,0.01%,,,,
10000300063292,Abdul Rahman,10117,0.01%,,,,
10000300078357,Alkalil General medical complex,10109,0.01%,,,,
10000300115308,Magrabi Hospitals and Centers Dental center,10103,0.01%,,,,
10000300044409,Pharmacy Nahdi fifty three,10072,0.01%,,,,
10000000003596,Arar Central Hospital,9986,0.01%,,,,
10000300307509,Roken Abas Medical Center,9928,0.01%,,,,
10000300311378,Pharmacy Nahdi Four ZeroNine,9906,0.01%,,,,
10000300107511,FARZA OPTICS - ABHA ALDABAB,9856,0.01%,,,,
10000300065370,Five Care Network,9829,0.01%,,,,
10000300157250,AVICENA DENTAL CENTER - QATIF,9823,0.01%,,,,
10000000000594,OHUD Hospital,9818,0.01%,,,,
10000300180856,Pharmacy Nahdi NineTow,9805,0.01%,,,,
10000300164108,Six By Six for Opticals,9799,0.01%,,,,
10000300198262,Ram Rahima Medical Company,9766,0.01%,,,,
10000300248562,advanced surgeries,9761,0.01%,,,,
10000300086491,Meraas Al Khaleej Medical Clinics Complex,9754,0.01%,,,,
10000300190830,Magrabi Optical Salama Center Branch,9736,0.01%,,,,
10000300072111,THE MODERN AL HIKMA MEDICAL COMPLEX,9684,0.01%,,,,
10000300189014,COMPLEX LORA MEDICAL,9683,0.01%,,,,
10000300200746,ALLLEWAA,9669,0.01%,,,,
10000300268933,Tabouk Medical Complex,9646,0.01%,,,,
10000300299714,global MEDICAL complex,9630,0.01%,,,,
10000300129523,Pharmacy Nahdi Two Seven,9581,0.01%,,,,
10000300195045,AlDawaa Pharmacy Five hundred and eighty five,9563,0.01%,,,,
10000300094669,BAQAA GENERAL MEDICAL COMPLEX,9541,0.01%,,,,
10000300126628,Hussam Optics JIM,9530,0.01%,,,,
10000300259387,Pharmacy Nahdi  One  Three  Four,9502,0.01%,,,,
10000300081781,Al-Bashawri Optical in Al-stin class C,9483,0.01%,,,,
10000300258645,Pharmacy Nahdi Six Nine,9466,0.01%,,,,
10000300230859,saif midecal company,9361,0.01%,,,,
10000300211727,alemies medical polyclinic,9358,0.01%,,,,
10000300234141,Language Listening Stimulation Center,9329,0.01%,,,,
10000300175443,RENAD OPTICALS - RIYADH,9318,0.01%,,,,
10000300051362,national medical care complex,9232,0.01%,,,,
10000000002193,Alnoor Specialist Hospital,9216,0.01%,,,,
10000300156195,Magrabi Optical Jubail 8,9115,0.01%,,,,
10000300063730,Pharmacy Nahdi Six Three,9017,0.01%,,,,
10000300208996,AlFarabi Dental and Orthodon tic Complex,9008,0.01%,,,,
10000300312442,Wellness experts complex,9008,0.01%,,,,
10000000004487,Erada Comlex and Mental Health,8992,0.01%,,,,
10000300242458,SANAYA MIDECAL CLINIC COMPANY,8990,0.01%,,,,
10000300246798,AL FARABI OPTICAL - RIYADH,8982,0.01%,,,,
10000300224514,Fakeeh Vision Company LTD Prince Sultan Rd Branch,8974,0.01%,,,,
10000300131255,Nahdi Pharmacy  sixteen,8936,0.01%,,,,
10000300160130,Pharmacy Nahdi Two Two  Five,8928,0.01%,,,,
10000300202775,LOLOUAT AL AAJ DENTAL CLINICS - RIYADH,8922,0.01%,,,,
10000300305750,Meena,8905,0.01%,,,,
10000300251236,Pharmacy  Nahdi  Four,8885,0.01%,,,,
10000300069422,ALHABIB POLYCLINC,8812,0.01%,,,,
10000300152715,dar sama for dental,8776,0.01%,,,,
10000300134804,Nur Sinai General Medical Complex,8771,0.01%,,,,
10000300144647,ALWAZZAN,8764,0.01%,,,,
10000300054374,nahdi pharmacy 16,8692,0.01%,,,,
10000300224910,Al dawaa Pharmacy nine hundred and seventy nine,8653,0.01%,,,,
10000300264924,Dima Dental Clinics Complex,8651,0.01%,,,,
10000300128400,ALHOKAIL ACADEMY SPECIALIZED DIGITAL,8638,0.01%,,,,
10000300120647,Pharmacy Nahdi three one,8595,0.01%,,,,
10000300101670,AlDawaa Pharmacy two hundred and fifteen,8570,0.01%,,,,
10000300140959,Pharmacy Nahdi  Two,8563,0.01%,,,,
10000000029460,Al Aziziyah General Medical Complex,8537,0.01%,,,,
10000000046878,Defi Family medicine part Of Royal Commision In Jubail Industrial City,8526,0.01%,,,,
10000300036496,Stars Smiles Dental Clinics,8457,0.01%,,,,
10000000000539,Medina Cluster,8456,0.01%,,,,
10000300144787,Alhokama,8436,0.01%,,,,
10000300198908,alemanclinic,8430,0.01%,,,,
10000300071709,AlDawaa Pharmacy Seven hundred and eighty nine,8379,0.01%,,,,
10000300174131,Advanced Medicine Center for Subspecialties Company,8344,0.01%,,,,
10000300125497,SALAMAT MEDICAL CENTER,8271,0.01%,,,,
10000300050638,Pharmacy Nahdi Eight Six,8248,0.01%,,,,
10000000046829,Huwilat Family medicine Part Of Royal Commision In Jubail Industria Cityl,8214,0.01%,,,,
10000000002407,ALRASS GENERAL HOSPITAL,8143,0.01%,,,,
10000300286448,Pharmacy  Nahdi One  Three  Seven,8143,0.01%,,,,
10000300207188,Almas elite medical center,8134,0.01%,,,,
10000300129945,Pharmacy Nahdi One Eight Seven,8124,0.01%,,,,
10000300109681,Bright Dent Center,8062,0.01%,,,,
10000300204813,Pharmacy Nahdi Two Four,8057,0.01%,,,,
10000300212832,Pharmacy Nahdi forty five,8045,0.01%,,,,
10000300328570,Al Nahdi Care Complex Ltd,8027,0.01%,,,,
10000300199021,abdulkareem hakamy complex,8021,0.01%,,,,
10000300145248,Al Ferdous Pharmacy,7930,0.01%,,,,
10000300166442,Nomais Medical Group,7880,0.01%,,,,
10000300049283,Modern Dawaei Medical Complex,7878,0.01%,,,,
10000300281670,TADAWI  MEDICAL COMPLEX,7853,0.01%,,,,
10000300232913,Pharmacy Nahdi  Seven Seven,7832,0.01%,,,,
10000300072046,Beauty Specialty Medical Company,7830,0.01%,,,,
10000300101308,AlDawaa Pharmacy One thousand twenty two,7817,0.01%,,,,
10000300190939,integrative medicine,7790,0.01%,,,,
10000000000062,King Abdul ah Medical City,7781,0.01%,,,,
10000300202874,Ummal Qura PC 2,7772,0.01%,,,,
10000000000808,king abdullah medical complex jeddah,7761,0.01%,,,,
10000300184221,Pharmacy Nahdi SixTwo,7754,0.01%,,,,
10000300149828,Pharmacy Nahdi Six Three,7726,0.01%,,,,
10000300133079,Pharmacy Nahdi eighty three,7711,0.01%,,,,
10000300186705,fayha health medical complex,7684,0.01%,,,,
10000300265335,Aldawaa pharmacy Number one thousand eighty and one,7674,0.01%,,,,
10000000053627,Nahdi Pharmacy No. 45 pharmacy,7655,0.01%,,,,
10000300254198,Al-Sadaf Medical Complex,7642,0.01%,,,,
10000300071394,Curative Care Company,7564,0.01%,,,,
10000300148911,Aldawaa Pharmacy Seven hundred and twelve,7534,0.01%,,,,
10000300200357,Pharmacy Nahdi  nine,7534,0.01%,,,,
10000300049556,Pharmacy Nahdi One Six Eight,7532,0.01%,,,,
10000300135033,AlDawaa pharmacy number five,7531,0.01%,,,,
10000300148135,Pharmacy  Nahdi two  Five,7516,0.01%,,,,
10000300280268,Rimal Aljazerat Medical Complix,7487,0.01%,,,,
10000300197850,Altakhses complex for oral and dental medicine and surgery ntal Surgery Complex,7445,0.01%,,,,
10000300064001,MENSHAF OPTICAL EST,7429,0.01%,,,,
10000300046628,Flaiw Medical Complex in Riyadh Alkhbrae,7423,0.01%,,,,
10000300049143,ALDAWAA,7390,0.01%,,,,
10000300083795,AlDawaa Pharmacy One hundred and three,7363,0.01%,,,,
10000000000004,Hera General Hospital,7354,0.01%,,,,
10000300050307,Pharmacy Nahdi Three Two,7333,0.01%,,,,
10000300156435,Physical Therapists   Center,7324,0.01%,,,,
10000300173604,Al Dawaa Pharmacy six hundred sixty three,7270,0.01%,,,,
10000300166186,Pharmacy  Nahdi  Two  Two  Three,7256,0.01%,,,,
10000300163548,Pharmacy Nahdi One Five Eight,7254,0.01%,,,,
10000300188198,BATEEL,7234,0.01%,,,,
10000300140116,Almadina Hearing Company Khores,7216,0.01%,,,,
10000300278247,Aldahyah medical complex,7206,0.01%,,,,
10000300221288,Pharmacy Nahdi Six  Six,7179,0.01%,,,,
10000300103627,Pharmacy Nahdi    seventeen,7158,0.01%,,,,
10000300063789,malham medical complex,7146,0.01%,,,,
10000300201785,Nahdi Pharmacy the twenty ninth,7140,0.01%,,,,
10000300119268,shaza general medical complex,7119,0.01%,,,,
10000300041306,Fakeeh Vision Company LTD Palastin Branch,7117,0.01%,,,,
10000300276480,Alrazi International  Medical Complex,7088,0.01%,,,,
10000300204227,Ram Medical Clinics Complex,7086,0.01%,,,,
10000300082631,KADOUN DENTAL CENTER 2 - RIYADH,7084,0.01%,,,,
10000300202213,ADC D1,7076,0.01%,,,,
10000300224688,asrar,7040,0.01%,,,,
10000300109996,SHAR DENTAL CEMTER,7036,0.01%,,,,
10000300115373,ALQARRA MEDICEL COMPLAX,7009,0.01%,,,,
10000300063326,Pharmacy Nahdi Two Three Six,6998,0.01%,,,,
10000300151352,Magrabi Khalid Bin Elwaled,6984,0.01%,,,,
10000300170238,Pharmacy Nahdi Four Three,6974,0.01%,,,,
10000300152343,Leen Private Medical Complex,6967,0.01%,,,,
10000300070123,Pharmacy Nahdi Two Two Seven,6910,0.01%,,,,
10000300109426,Dr Salem Basaffar Center,6879,0.01%,,,,
10000300281902,ELITE SPECALIST CLINICS,6874,0.01%,,,,
10000300054515,SHINING HORIZONS DENTAL CENTER,6866,0.01%,,,,
10000300193446,Nile Medical Clinics Complex,6863,0.01%,,,,
10000300183983,kian,6856,0.01%,,,,
10000300270194,Wellness  Gulf Medical Company Complex,6817,0.01%,,,,
10000300065131,Kahhal Optical,6817,0.01%,,,,
10000300164389,Al Madar Dental Clinics Complex,6815,0.01%,,,,
10000300105366,AlSalman Optics Olaya Branch,6785,0.01%,,,,
10000300083910,Lasting Smile Dental Clinic Co,6783,0.01%,,,,
10000300225545,KHAMIS MEDICAL INTERFACE COMPLEX,6776,0.01%,,,,
10000300083530,BIN RUSHD OPTICAL - RIYADH,6766,0.01%,,,,
10000300049374,ALMADAR DIAMOND CLINIC,6752,0.01%,,,,
10000300141676,Ahali Alkhurma Policlinic,6736,0.01%,,,,
10000300207477,Aldawa Medical Tower,6730,0.01%,,,,
10000300081831,Pharmacy Nahdi Three Three,6703,0.01%,,,,
10000300179916,jwel clinics,6687,0.01%,,,,
10000300315908,UR CARE CLINIC,6657,0.01%,,,,
10000300036876,Barakat Optical Al Malaz Area Al Shweaer St,6642,0.01%,,,,
10000300239355,Pharmacy Nahdi  Four Three,6580,0.01%,,,,
10000300282637,Pharmacy NAHDI Tow Five,6570,0.01%,,,,
10000300141320,biolife clinics,6569,0.01%,,,,
10000300150487,AL AZHAR POLYCLINICS,6565,0.01%,,,,
10000300184874,AlDawaa Pharmacy Four hundred and thirteen,6557,0.01%,,,,
10000300034137,Pharmacy Nahdi  twentyone,6536,0.01%,,,,
10000300132204,Get Smart Medical Center,6495,0.01%,,,,
10000300296892,Pharmacy Nahdi twenty four,6478,0.01%,,,,
10000300323415,Al Nahdi Care Company Ltd is a onepersonÂ  company,6462,0.01%,,,,
10000300090915,Pharmacy  Nahdi One Zero Eight,6445,0.01%,,,,
10000300119094,Sham Clinics Complex (2) Dental Medicine and Orthodontics - Dammam,6442,0.01%,,,,
10000300142146,oyoun duba,6441,0.01%,,,,
10000300218193,Dose clinic,6422,0.01%,,,,
10000300051016,Durrat Aba Alkhail Medical Center,6398,0.01%,,,,
10000300123088,Pharmacy Nahdi One Five Four,6392,0.01%,,,,
10000300090162,AlDawaa Pharmacy Seven hundred and four,6382,0.01%,,,,
10000300189162,Stars Smiles Dental Clinics Complex,6381,0.01%,,,,
10000300101696,Alarid medical compiex,6380,0.01%,,,,
10000300176896,Pharmacy Nahdi One Five Six,6374,0.01%,,,,
10000300207964,SAUDI SWISS CONSULTANT  COPMANY,6351,0.01%,,,,
10000300128160,Aldawaa Pharmacy One hundred and eighty three,6344,0.01%,,,,
10000300261649,Pharmacy Nahdi  One Three  Two,6331,0.01%,,,,
10000300197462,Alablan Polycinic /Hafer Albaten,6328,0.01%,,,,
10000300300777,Magrabi Tahlia branch in Jeddah,6326,0.01%,,,,
10000300241047,AlDawaa Pharmacy Two hundred and thirty nine,6326,0.01%,,,,
10000300188180,vision eye speclalist center,6278,0.01%,,,,
10000300250014,MAKKAH PARK CLINICS,6269,0.01%,,,,
10000300250741,AlDawaa Pharmacy one thousand two hundred and thirty five,6267,0.01%,,,,
10000300182514,KENTAL DENTAL CENTER 2,6257,0.01%,,,,
10000300274097,Pharmacy Nahdi  Five Eight,6230,0.01%,,,,
10000300095807,Magrabi,6223,0.01%,,,,
10000300169776,PharmacY Nahdi One Five,6210,0.01%,,,,
10000300171228,Hamza Jadan Al Omari General Medical Complex,6207,0.01%,,,,
10000000030021,Saud Albabatain Cardiac Center,6203,0.01%,,,,
10000000030685,AL Hasa Omran General Hospital,6191,0.01%,,,,
10000300122155,Pharmacy Nahdi Two One Nine,6182,0.01%,,,,
10000300231634,Pharmacy  Nahdi  Six,6170,0.01%,,,,
10000300058011,Pharmacy Nahdi One Four Seven,6144,0.01%,,,,
10000300106034,Afaq Clinic Company,6133,0.01%,,,,
10000300285036,Magrabi Medical Complex in Onaizah,6118,0.01%,,,,
10000300186259,HAYATY MEDICAL COMPLEX,6108,0.01%,,,,
10000300037585,magrabi.com,6061,0.01%,,,,
10000300281415,magrabi al yasmin Branch,6033,0.01%,,,,
10000300139225,Pharmacy  Nahdi Three Seven Two,5989,0.01%,,,,
10000300125422,AVICENA DENTAL CENTER - JUBAIL,5986,0.01%,,,,
10000300140595,Magrabi DH,5981,0.01%,,,,
10000000047777,Saudi Red Crescent Alqassim Branch,5975,0.01%,,,,
10000300169487,DR ABDULAZIZ ALAJAJI DENTAL POLYCLINIC - RIYADH,5960,0.01%,,,,
10000300087853,Pharmacy Nahdi One Two Three,5936,0.01%,,,,
10000300290838,Aldawaa pharmacynine hundred eighty seven,5931,0.01%,,,,
10000300260906,INTEGRATED TREATMENT CENTER SECOND BRANCH,5927,0.01%,,,,
10000300141494,nahdi pharmacy 29,5865,0.01%,,,,
10000300203187,altakhses general medical complex,5839,0.01%,,,,
10000300323167,Dar Al Tadawi General Medical Clinics,5813,0.01%,,,,
10000300187208,alfaran medical center,5811,0.01%,,,,
10000300320684,Nahdi  Pharmacy Four,5809,0.01%,,,,
10000000046837,Hijaz Family medicine Of Royal Commision In Jubail Industrial City,5800,0.01%,,,,
10000000047744,Saudi Red Crescent Asser Branch,5785,0.01%,,,,
10000300182738,albishri medcal complex,5774,0.01%,,,,
10000000004455,Ahsa Mental Health Hospita,5773,0.01%,,,,
10000300122833,Pharmacy Nahdi One,5770,0.01%,,,,
10000300231865,AL-SALMAN OPTICAL Al-nakheel,5749,0.01%,,,,
10000000065142,Maghrabi Opticals Category A-5-i-King Abdullah,5722,0.01%,,,,
10000300047436,Pharmacy Nahdi Seven Three,5715,0.01%,,,,
10000300058748,Aldawaa Pharmacy Three hundred and forty one,5705,0.01%,,,,
10000300128277,Pharmacy Nahdi Eight Eight,5697,0.01%,,,,
10000300034749,Al Ridwan Medical Complex Company,5681,0.01%,,,,
10000300099148,Nahdi Thirty Pharmacy,5681,0.01%,,,,
10000300132162,Dia Olaya Medical Complex,5673,0.01%,,,,
10000300081047,Pharmacy Nahdi Four Five,5654,0.01%,,,,
10000300096987,Pharmacy Nahdi Nine Eight,5648,0.01%,,,,
10000300227236,Al Nahdi Pharmacy seventy fifth,5648,0.01%,,,,
10000300041256,DR  Mohamed Ahmed Adawy Medical Complex,5632,0.01%,,,,
10000300076013,Pharmacy Nahdi One Four  One,5625,0.01%,,,,
10000300106463,Pharmacy Nahdi Four Eight,5616,0.01%,,,,
10000300144100,Pharmacy NahdiTwo Seven Four,5607,0.01%,,,,
10000300209721,Pharmacy  Nahdi Three  Eight,5573,0.01%,,,,
10000300319504,Alkhaleejy Medical PolyClinic Alshorafia,5565,0.01%,,,,
10000300167622,Pharmacy Nahdi One Three Two,5561,0.01%,,,,
10000300170204,Hakim Taiba General Medical Complex,5532,0.01%,,,,
10000300156336,AL BELAD MEDICAL CENTER,5525,0.01%,,,,
10000300151188,Al Muna Medical Complex,5518,0.01%,,,,
10000300052733,Magrabi,5506,0.01%,,,,
10000300100797,Pharmacy Nahdi Two Three Nine,5494,0.01%,,,,
10000300037775,AlDawaa Pharmacy Seven hundred and seventy,5490,0.01%,,,,
10000300043328,Pharmacy Nahdi Two Three,5463,0.01%,,,,
10000300176813,AlDawaa Pharmacy Forty one,5445,0.01%,,,,
10000300079272,Pharmacy Nahdi  Three,5442,0.01%,,,,
10000300063979,nahdi5,5432,0.01%,,,,
10000300251673,Pharmacy Nahdi Two SixSix,5413,0.01%,,,,
10000300098652,Alsalam medical center,5413,0.01%,,,,
10000300275847,Modern Arab Medical Complex,5401,0.00%,,,,
10000300305651,alshark national poly clinic,5389,0.00%,,,,
10000300315130,Pharmacy Nahdi Four One Three,5377,0.00%,,,,
10000300176623,Aldawaa pharmacy nine hundred forty and six,5371,0.00%,,,,
10000300288055,Doctor M Tabuk Park Branch,5370,0.00%,,,,
10000000164556,"Magrabi Opticals, Class A, Red Sea Mall Center",5369,0.00%,,,,
10000300154919,badgaish eyecare,5356,0.00%,,,,
10000300118583,Pharmacy Nahdi Two One,5351,0.00%,,,,
10000300035985,Pharmacy Nahdi On ZeroNine,5350,0.00%,,,,
10000000002997,Ahad Rufaidah Genral Hospital,5347,0.00%,,,,
10000300207337,Pharmacy NahdiTwo Five Eight,5344,0.00%,,,,
10000300067632,Magrabi Optical Granada Mall,5326,0.00%,,,,
10000300113527,Magrabi optical Company,5318,0.00%,,,,
10000300254008,Pharmacy  Nahdi Two  Nine,5274,0.00%,,,,
10000300089065,maha medecial complex,5270,0.00%,,,,
10000300155080,jarrash medical polyclinic,5266,0.00%,,,,
10000300101530,RWAAA ALMOOMIZOON OPTICAL,5258,0.00%,,,,
10000300103973,Al dawaa Pharmacy nine hundred and nine,5239,0.00%,,,,
10000300164819,Pharmacy Nahdi Three Four,5234,0.00%,,,,
10000300202841,Dar Afia Medical Co,5222,0.00%,,,,
10000300235825,Al dawaa Pharmacy nine hundred eighty and three,5207,0.00%,,,,
10000300244587,Hiba Asia Medical Complex General Company,5178,0.00%,,,,
10000300298401,Pharmacy Nahdi TwoThree,5158,0.00%,,,,
10000300039151,Pharmacy Nahdi Three Nine Five,5157,0.00%,,,,
10000300254099,   Eed Clinic Medical Center and One day Surgery   ,5145,0.00%,,,,
10000300222781,Pharmacy  Nahdi  fifteen,5134,0.00%,,,,
10000300308762,LIFE CARE MEDICAL COMPLEX,5126,0.00%,,,,
10000300080064,Pharmacy Nahdi Four Five,5096,0.00%,,,,
10000300082714,ALAMAL GENERAL MEDICAL COMPLEX,5085,0.00%,,,,
10000300249891,Aldawaa Pharamacy one thousand seventy eight,5081,0.00%,,,,
10000300035019,NAHDI TWENTY THREE,5071,0.00%,,,,
10000300119300,Creative Dental Center,5058,0.00%,,,,
10000300291117,Pharmacy Nahdi   Two Four,5043,0.00%,,,,
10000300053277, Al-Abeer International Medical Co. Ltd.,5003,0.00%,,,,
10000300173091,SAFAA PIONEER CLINIC,4999,0.00%,,,,
10000300181151,Al dawaa Pharmacy one thousand forty two,4984,0.00%,,,,
10000300151469,Pharmacy Nahdi Four Zero,4970,0.00%,,,,
10000300064514,Pharmacy Nahdi Two Zero Five,4939,0.00%,,,,
10000300312574,Gulf Doctors Medical Complex,4938,0.00%,,,,
10000300301486,Doctor M Salama Center Branch,4933,0.00%,,,,
10000300194709,Ryadah Hospital,4911,0.00%,,,,
10000300174933,dar alqasr optical center,4878,0.00%,,,,
10000300147392,Aldawaa pharmacy is forty eight,4876,0.00%,,,,
10000300196795,child will pediatric therapy,4875,0.00%,,,,
10000300081260,Fourth Primary Care Medical Complex,4867,0.00%,,,,
10000300194691,Al Dawaa Pharmacy one thousand two hundred and fifty eight,4856,0.00%,,,,
10000300125224,shifaa alshamly,4849,0.00%,,,,
10000300113873,Dalia Clinic,4836,0.00%,,,,
10000300119987,IRCC,4824,0.00%,,,,
10000300210620,MAS GENERAL  MEDICAL  COMPLEX,4823,0.00%,,,,
10000000002888,King Fahad Hospital Of The University,4814,0.00%,,,,
10000300108139,Pharmacy Nahdi One Nine1,4781,0.00%,,,,
10000000002641,Armed Forces Hospital in Jubail,4781,0.00%,,,,
10000300085295,SAFAD DENTAL CENTER - RIYADH,4772,0.00%,,,,
10000300101118,Aldawaa Pharmacy Three hundred and sixty six,4760,0.00%,,,,
10000300049317,EYE SPECIALIST CENTER,4733,0.00%,,,,
10000300062112,AlDawaa Pharmacy Four hundred and twenty eight,4700,0.00%,,,,
10000300187455,Permanent medical standard,4696,0.00%,,,,
10000300034996,PharmacyNahdi Two,4674,0.00%,,,,
10000300037205,Douvin Clinic,4658,0.00%,,,,
10000300152319,AbdulRhman Mohammed Alduheshi center for physical therapy,4653,0.00%,,,,
10000300111612,rawad altaqadum medical complex,4644,0.00%,,,,
10000300134861,Magrabi Alaizdihar,4634,0.00%,,,,
10000300143698,AlDawaa Pharmacy Seventeen,4629,0.00%,,,,
10000300069174,Pharmacy Nahdi One Five Zero,4616,0.00%,,,,
10000300163472,Pharmacy Nahdi sixty six,4603,0.00%,,,,
10000300246459,integrated medical care Center,4602,0.00%,,,,
10000000002612,KAAB HOSPITAL DAHRAN,4601,0.00%,,,,
10000300317623,pretty Smile Medical Specialist Complex,4598,0.00%,,,,
10000300057799,AlDawaa Pharmacy One hundred and thirty one,4593,0.00%,,,,
10000300033220,Pharmacy Nahdi One Seven Zero,4590,0.00%,,,,
10000300048608,PharmacyNahdi Five,4589,0.00%,,,,
10000300081641,AlDawaa Pharmacy Three hundred and forty eight,4588,0.00%,,,,
10000000001379,Armed Forces Hospitals Taif region,4574,0.00%,,,,
10000300290382,Pharmacy  Nahdi Two  One,4568,0.00%,,,,
10000300194337,alsafa medical general complex,4567,0.00%,,,,
10000300079280,ALDAWAA,4562,0.00%,,,,
10000300258991,Pharmacy Nahdi One Three One,4560,0.00%,,,,
10000300278130,Ocean Medical Complex,4549,0.00%,,,,
10000300030093,Aldawaa Pharmacy One hundred and ninety nine,4545,0.00%,,,,
10000300114814,Aldawaa Pharmacy Seven hundred and thirty nine,4543,0.00%,,,,
10000300183918,AL SALAM HEALTH MEDICAL SPECIALIZED CLINIC,4537,0.00%,,,,
10000300246079,Nahdi pharmacy fifty one,4530,0.00%,,,,
10000300181631,AlDawaa Pharmacy Four hundred and fourteen,4518,0.00%,,,,
10000300258231,ASHFA GENRAL COMPLEX,4499,0.00%,,,,
10000300146790,child will pediatric therapy center khobar,4498,0.00%,,,,
10000300140421,Pharmacy Nahdi One Nine Zero,4488,0.00%,,,,
10000300214705,lulua alfarabi dental complex and dermatology,4485,0.00%,,,,
10000300034426,Pharmacy Nahdi One Five One,4480,0.00%,,,,
10000300090972,PharmacyNahdi One One,4477,0.00%,,,,
10000300150701,AlDawaa Pharmacy  numberThree hundred and ninety nine,4459,0.00%,,,,
10000000002247,Childbirth and Children Hospital in Buraidah,4458,0.00%,,,,
10000300147962,HAWAS Rehabilitation Center,4457,0.00%,,,,
10000300048392,AlDawaa Pharmacy number Seven hundred and sixty one,4453,0.00%,,,,
10000300047741,Pharmacy  Nahdi  Five Two,4448,0.00%,,,,
10000300163746,AlDawaa Pharmacy Seven hundred and thirty eight,4446,0.00%,,,,
10000300172473,Pharmacy Nahdi Eight Seven,4440,0.00%,,,,
10000300225289,Al Mujtama Leading Pharmacy 1,4438,0.00%,,,,
10000300249404,Pharmacy  Nahdi  Seventeen,4428,0.00%,,,,
10000300094248,merad medical clinic,4424,0.00%,,,,
10000300098363,ALWAFA COMPLEX MEDICAL,4415,0.00%,,,,
10000300068697,aram medical complex,4414,0.00%,,,,
10000300248612,AL-SALMAN OPTICAL Qortoba,4412,0.00%,,,,
10000300100995,Aldawaa Pharmacy One hundred thirty eight,4409,0.00%,,,,
10000300056767,Pharmacy Nahdi One Six Four,4409,0.00%,,,,
10000300254081,Inlimited Care Medical Complex,4408,0.00%,,,,
10000300081914,alarkan polyclinic,4393,0.00%,,,,
10000300121462,Pharmacy Nahdi One Eight,4376,0.00%,,,,
10000300278890,pharmacy Nahdi five  eight,4368,0.00%,,,,
10000300146832,Pharmacy Nahdi Two Three Five,4363,0.00%,,,,
10000300031786,  BROS DENTAL ClLINICS - RIYADH,4358,0.00%,,,,
10000300055355,Shamsan Business Complex,4355,0.00%,,,,
10000000094530,A branch of Magrabi Hospitals and Centers Company - Jeddah,4355,0.00%,,,,
10000300032354,AlDawaa Pharmacy twenty two,4354,0.00%,,,,
10000300233929,Aldawaa pharmacy nine hundred eighty two,4349,0.00%,,,,
10000300139217,AlDawaa Pharmacy Two hundred and twenty seven,4348,0.00%,,,,
10000300100938,Dr. Layla Al Onaizi Polyclinic,4344,0.00%,,,,
10000300032487,new zoom llc,4334,0.00%,,,,
10000300101258,Pharmacy Nahdi Three Five,4332,0.00%,,,,
10000300239751,Magrabi Tabuk Park Branch,4328,0.00%,,,,
10000300176797,Pharmacy Nahdi seventy,4327,0.00%,,,,
10000300307277,Arpha Medical Complex,4318,0.00%,,,,
10000300257944,Al-Qarah Medical Complex,4310,0.00%,,,,
10000300154034,Pharmacy Nahdi Six Nine,4306,0.00%,,,,
10000300180062,HLAROSECLINIC,4288,0.00%,,,,
10000300103544,Specialized Dental Treatment Company,4288,0.00%,,,,
10000300139233,nahdi15,4287,0.00%,,,,
10000300291836,Pharmacy Nahdi Four Zero Zero,4286,0.00%,,,,
10000300220744,eastern smiles,4285,0.00%,,,,
10000300175039,Magrabi Optical Sari Branch,4282,0.00%,,,,
10000300172945,AlDawaa Pharmacy Three hundred and twenty five,4278,0.00%,,,,
10000300280458,AlFarabi DentalAnd Dermatology Complex,4266,0.00%,,,,
10000300114517,Al Nahdi Medical Company,4266,0.00%,,,,
10000300300470,Alora Dental Clinic,4263,0.00%,,,,
10000300166673,Magrabi Optical Alwan Mall Branch,4262,0.00%,,,,
10000300070545,Bin Kadasah Center,4255,0.00%,,,,
10000300207469,Al Dawaa Pharmacy one thousand one hundred five,4251,0.00%,,,,
10000300195839,Pharmacy  Nahdi  Two Four,4242,0.00%,,,,
10000000098457,Magrabi Optical Center Class A-7 Jerusalem,4237,0.00%,,,,
10000300116660,Pharmacy Nahdi OneSevenTwo,4233,0.00%,,,,
10000300238928,AlDawaa Pharmacy one thousand two hundred and thirty eight,4229,0.00%,,,,
10000300061999,AlDawaa Pharmacy Three hundred and forty two,4220,0.00%,,,,
10000300273560,Pharmacy Nahdi   Three Three,4217,0.00%,,,,
10000300035522,Pharmacy Nahdi One,4206,0.00%,,,,
10000300051701,magrabi,4202,0.00%,,,,
10000300032818,optical corner est,4197,0.00%,,,,
10000300048640,YUSRA PHARMACY,4195,0.00%,,,,
10000300103908,Pharmacy Nahdi Five Three,4188,0.00%,,,,
10000300058847,Mafasel Clinics Medical Co LTD,4185,0.00%,,,,
10000300178181,Pharmacy Nahdi One  Eight,4171,0.00%,,,,
10000300152160,Abas  Medical Companiy,4168,0.00%,,,,
